PLANTSPECIES,SUBSP_OR_VARIETY,FRUIT_LENGTH_mm,FRUIT_DIAMETER_mm,PLANT_MAX_MEAN_VEGETATIVE_HEIGHT_m,FRUIT_SIZE_REFERENCE,PLANT_HEIGHT_REFERENCE_IF_DIFFERENT_FROM_THAT_OF_FRUIT_SIZE,NOTES
Cotoneaster_sp,,6.833,5.7667,4,,,Fruit size and plant height calculated as the average between the three Cotoneaster species present in this dataset.
Crataegus_monogyna,,9,7,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Crataegus_sp,,9,7,10,,,Values from C. monogyna were used.
Dacrycarpus_dacrydioides,,4,4,60,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,Semi-globose fruit. Fruit length used as fruit diameter.
Dacrydium_cupressinum,,8,4,60,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Dendrobenthamia_capitata,,30,30,12,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – NZ Plant Conservation Network,,
Dracaena_draco,,15,15,20,ARBOLAPP canarias (http://www.arbolappcanarias.es/en/species/info/dracaena-draco/),"Krawczyszyn &Krawczyszyn (2016) ‘Photomorphogenesis in Dracaena draco’ Trees, vol 30, 647-664.",
Dracophyllum_longifolium,,3.9,3.55,12,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – NZ Plant Conservation Network,,
Dracophyllum_sp,Dracophyllum longifolium,3.9,3.55,12,,,Dracophyllum longifolium fruit size and plant height used for Dracophyllum sp. values.
Dysoxylum_spectabile,,25,25,15,Flora of NZ Series H. H. Allan -  NZ Plant Conservation Network,,
Elaeocarpus_dentatus,var. dentatus,15,9,15,Flora of NZ Series H. H. Allan -  NZ Plant Conservation Network,,
Elaeocarpus_hookerianus,,8,8,12,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,Fruit diameter estimated from fruit length as fruit is semi-globose. 
Eriobotrya_japonica,,50,35,8,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Euonymus_europaeus,,6.6,6.9,6,University of Canterbury herbarium specimen number 44209,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 1.
Euonymus_europaeus,,7.3,6.1,6,University of Canterbury herbarium specimen number 44209,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 2.
Ficus_carica,,43.4,45.7,2.95,"Mehraj et al. ‘Fig (Ficus carica L.): a new fruit crop in Bangladesh’, International Journal of Business, Social and Scientific Research, 2013, 1:1, 1-5.",,
Ficus_macrophylla,,32.5,32.5,35,"Wotton, McAlpine: Weed seed dispersal, Appendix S1. ",http://tropical.theferns.info/viewtropical.php?id=Ficus+macrophylla,Fruit diameter used as fruit length as fruit is globose.
Fragaria_ananassa,,32.43,29.8,0.09,"Castellano-Morales et al. ‘Root colonization by the arbuscular mycorrhizal fungus Glomus intraradices alters the quality of strawberry fruits (Fragaria x ananassa Duch.) at diffeernt nitrogen levels’ Journal of the Science of Food and Agriculture, 2010, 90:11, 1774-1782  -  Missouri Botanical Garden",http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=255945&isprofile=0&,Fruit size calculated as the mean of the six interaction treatments in Castellano-Morales etal 2010.
Freycinetia_banksii,,150,30,20,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Fuchsia_excorticata,,10,8,12,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Fuchsia_perscandens,,10,5,5,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – Flora of NZ Series H. H. Allan,,Plant height was estimated by the main stem length.
Fuchsia_sp,,10,6.5,8.5,,,Fruit size and plant height calculated as the average between the two Fuschia species present in this dataset.
Gaultheria_antipoda,,10,10,2,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Gaultheria_depressa,,12,12,0.1,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Gaultheria_macrostigma,,7,7,0.1,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Geniostoma_ligustrifolium,,7.5,5,3,Flora of NZ Series H. H. Allan,,
Geniostoma_rupestre,,6,5,4,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Griselinia_littoralis,,6.5,4,15,University of Canterbury herbarium specimen number 29620,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Eco Traits NZ Flora (fruit length = 6mm). 
Griselinia_littoralis,,5.3,3.4,15,University of Canterbury herbarium specimen number 31964,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Eco Traits NZ Flora (fruit length = 6mm). 
Griselinia_littoralis,,4.8,3,15,University of Canterbury herbarium specimen number 8497,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Eco Traits NZ Flora (fruit length = 6mm). 
Griselinia_lucida,,4.5,2.2,8,University of Canterbury herbarium specimen number 3285,Flora of NZ Series H. H. Allan,Fruit 1. Fruit length also available at Eco Traits NZ Flora (fruit length = 7.5mm).
Griselinia_lucida,,5.5,3.2,8,University of Canterbury herbarium specimen number 3285,Flora of NZ Series H. H. Allan,Fruit 2. Fruit length also available at Eco Traits NZ Flora (fruit length = 7.5mm).
Griselinia_lucida,,5.3,2.5,8,University of Canterbury herbarium specimen number 3285,Flora of NZ Series H. H. Allan,Fruit 3. Fruit length also available at Eco Traits NZ Flora (fruit length = 7.5mm).
Griselinia_sp,,5.315,3.05,11.5,,,Fruit size and plant height calculated as the average between G. littoralis and G. lucida.
Gunnera_tinctoria,,2,2,2,"Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database -  Wotton, McAlpine: Weed seed dispersal, Appendix S1",,
