"cell_id";"species";"observations";"guild";"status";"record.type"
51;"Fringilla_coelebs";12;"birds";"Exotic";"TIER1"
52;"Fringilla_coelebs";4;"birds";"Exotic";"TIER1"
53;"Fringilla_coelebs";42;"birds";"Exotic";"TIER1"
54;"Fringilla_coelebs";14;"birds";"Exotic";"TIER1"
55;"Fringilla_coelebs";10;"birds";"Exotic";"TIER1"
5;"Gallirallus_australis";2;"birds";"Native";"TIER1"
12;"Gallirallus_australis";1;"birds";"Native";"TIER1"
15;"Gallirallus_australis";9;"birds";"Native";"TIER1"
16;"Gallirallus_australis";12;"birds";"Native";"TIER1"
19;"Gallirallus_australis";1;"birds";"Native";"TIER1"
20;"Gallirallus_australis";1;"birds";"Native";"TIER1"
22;"Gallirallus_australis";5;"birds";"Native";"TIER1"
27;"Gallirallus_australis";193;"birds";"Native";"TIER1"
28;"Gallirallus_australis";54;"birds";"Native";"TIER1"
29;"Gallirallus_australis";14;"birds";"Native";"TIER1"
31;"Gallirallus_australis";46;"birds";"Native";"TIER1"
32;"Gallirallus_australis";120;"birds";"Native";"TIER1"
36;"Gallirallus_australis";1;"birds";"Native";"TIER1"
37;"Gallirallus_australis";80;"birds";"Native";"TIER1"
38;"Gallirallus_australis";23;"birds";"Native";"TIER1"
40;"Gallirallus_australis";2;"birds";"Native";"TIER1"
41;"Gallirallus_australis";5;"birds";"Native";"TIER1"
45;"Gallirallus_australis";65;"birds";"Native";"TIER1"
46;"Gallirallus_australis";19;"birds";"Native";"TIER1"
49;"Gallirallus_australis";104;"birds";"Native";"TIER1"
50;"Gallirallus_australis";1;"birds";"Native";"TIER1"
53;"Gallirallus_australis";4;"birds";"Native";"TIER1"
1;"Gerygone_igata";8;"birds";"Native";"TIER1"
2;"Gerygone_igata";20;"birds";"Native";"TIER1"
4;"Gerygone_igata";20;"birds";"Native";"TIER1"
5;"Gerygone_igata";19;"birds";"Native";"TIER1"
6;"Gerygone_igata";3;"birds";"Native";"TIER1"
7;"Gerygone_igata";5;"birds";"Native";"TIER1"
8;"Gerygone_igata";29;"birds";"Native";"TIER1"
9;"Gerygone_igata";12;"birds";"Native";"TIER1"
