"cell_id";"species";"observations"
33;"Prosthemadera_novaeseelandiae";4
33;"Rhipidura_fuliginosa";2
33;"Sturnus_vulgaris";3
33;"Tadorna_variegata";7
33;"Turdus_merula";5
33;"Turdus_philomelos";1
33;"Zosterops_lateralis";3
34;"Acridotheres_tristis";18
34;"Carduelis_carduelis";2
34;"Chloris_chloris";2
34;"Chroicocephalus_novaehollandiae";30
34;"Fringilla_coelebs";7
34;"Gerygone_igata";7
34;"Hemiphaga_novaeseelandiae";3
34;"Meleagris_gallopavo";2
34;"Passer_domesticus";16
34;"Petroica_macrocephala";1
34;"Phasianus_colchicus";3
34;"Phormium_tenax";2
34;"Platycercus_eximius";2
34;"Porphyrio_melanotus";8
34;"Prosthemadera_novaeseelandiae";12
34;"Rhipidura_fuliginosa";9
34;"Sturnus_vulgaris";5
34;"Tadorna_variegata";6
34;"Turdus_merula";15
34;"Turdus_philomelos";6
34;"Zosterops_lateralis";6
35;"Acridotheres_tristis";25
35;"Anthus_novaeseelandiae";14
35;"Carduelis_carduelis";5
35;"Chloris_chloris";2
35;"Chroicocephalus_novaehollandiae";40
35;"Fringilla_coelebs";9
35;"Geniostoma_ligustrifolium";2
35;"Gerygone_igata";6
35;"Hemiphaga_novaeseelandiae";2
35;"Leptospermum_scoparium";2
35;"Meleagris_gallopavo";1
35;"Passer_domesticus";20
35;"Phasianus_colchicus";2
35;"Platycercus_eximius";4
35;"Porphyrio_melanotus";12
35;"Prosthemadera_novaeseelandiae";13
35;"Rhipidura_fuliginosa";10
35;"Sturnus_vulgaris";4
35;"Tadorna_variegata";7
35;"Turdus_merula";12
35;"Turdus_philomelos";8
35;"Zosterops_lateralis";12
36;"Acridotheres_tristis";2
36;"Carduelis_carduelis";1
36;"Chroicocephalus_novaehollandiae";2
36;"Gerygone_igata";1
36;"Passer_domesticus";1
36;"Porphyrio_melanotus";1
36;"Prosthemadera_novaeseelandiae";3
36;"Turdus_merula";1
37;"Acridotheres_tristis";12
37;"Anthus_novaeseelandiae";3
37;"Branta_canadensis";5
37;"Carduelis_carduelis";9
37;"Chloris_chloris";3
37;"Chroicocephalus_novaehollandiae";8
37;"Fringilla_coelebs";12
37;"Gerygone_igata";12
37;"Lantana_camara";1
37;"Meleagris_gallopavo";2
37;"Muehlenbeckia_complexa";1
37;"Passer_domesticus";15
37;"Phasianus_colchicus";6
37;"Platycercus_eximius";3
37;"Porphyrio_melanotus";12
37;"Prosthemadera_novaeseelandiae";4
37;"Rhipidura_fuliginosa";12
37;"Solanum_mauritianum";1
37;"Sturnus_vulgaris";8
37;"Tadorna_variegata";3
37;"Turdus_merula";9
37;"Turdus_philomelos";9
37;"Zosterops_lateralis";12
38;"Acridotheres_tristis";75
38;"Anthus_novaeseelandiae";7
38;"Branta_canadensis";15
38;"Carduelis_carduelis";38
38;"Chloris_chloris";13
38;"Chroicocephalus_novaehollandiae";21
38;"Fringilla_coelebs";22
38;"Gerygone_igata";30
38;"Hemiphaga_novaeseelandiae";13
38;"Meleagris_gallopavo";23
38;"Nestor_meridionalis";1
38;"Passer_domesticus";49
38;"Phasianus_colchicus";29
38;"Platycercus_eximius";22
38;"Porphyrio_melanotus";68
38;"Prosthemadera_novaeseelandiae";37
38;"Rhipidura_fuliginosa";30
38;"Sturnus_vulgaris";43
38;"Tadorna_variegata";59
38;"Turdus_merula";52
38;"Turdus_philomelos";31
38;"Zosterops_lateralis";26
40;"Acridotheres_tristis";10
40;"Aristotelia_serrata";1
40;"Beilschmiedia_tarairi";1
40;"Carduelis_carduelis";5
40;"Coprosma_arborea";1
40;"Coprosma_parviflora";1
40;"Coprosma_rhamnoides";2
40;"Cordyline_australis";1
40;"Corynocarpus_laevigatus";1
40;"Dacrycarpus_dacrydioides";2
40;"Dysoxylum_spectabile";1
40;"Freycinetia_banksii";1
40;"Fringilla_coelebs";13
40;"Geniostoma_ligustrifolium";1
40;"Geniostoma_rupestre";1
40;"Gerygone_igata";10
40;"Knightia_excelsa";1
40;"Leptospermum_scoparium";1
40;"Macropiper_excelsum";2
40;"Melicytus_ramiflorus";2
40;"Myrsine_australis";2
40;"Paratrophis_microphylla";1
40;"Passer_domesticus";6
40;"Petroica_macrocephala";1
40;"Phasianus_colchicus";5
40;"Platycercus_eximius";4
40;"Podocarpus_cunninghamii";1
40;"Podocarpus_totara";1
40;"Porphyrio_melanotus";3
