"species";"guild";"status";"n";"trait";"mean.value";"sd.value"
"Chroicocephalus_novaehollandiae";"birds";"Native";NA;"Wing.Length";NA;NA
"Cyanoramphus_auriceps";"birds";"Native";5;"Beak.Depth";13,52;1,85930094390338
"Cyanoramphus_auriceps";"birds";"Native";5;"Beak.Length_Culmen";14,66;1,27397017233529
"Cyanoramphus_auriceps";"birds";"Native";5;"Beak.Length_Nares";11,875;1,65
"Cyanoramphus_auriceps";"birds";"Native";5;"Beak.Width";7,58;0,653452370108182
"Cyanoramphus_auriceps";"birds";"Native";4;"BILL_LENGTH_mm";13,075;0,670198975429437
"Cyanoramphus_auriceps";"birds";"Native";4;"BILL_WIDTH_mm";8,725;0,377491721763537
"Cyanoramphus_auriceps";"birds";"Native";NA;"body.mass";45,95;NA
"Cyanoramphus_auriceps";"birds";"Native";5;"Hand-wing.Index";36,1;2,55473416751463
"Cyanoramphus_auriceps";"birds";"Native";5;"Kipps.Distance";37,75;2,06155281280883
"Cyanoramphus_auriceps";"birds";"Native";5;"Secondary1";67;5,47722557505166
"Cyanoramphus_auriceps";"birds";"Native";5;"Tail.Length";114,4;11,9079805172834
"Cyanoramphus_auriceps";"birds";"Native";5;"Tarsus.Length";16,66;1,0899541274751
"Cyanoramphus_auriceps";"birds";"Native";4;"WING_LENGTH_cm";10,125;0,320156211871642
"Cyanoramphus_auriceps";"birds";"Native";5;"Wing.Length";105;4,41588043316392
"Cyanoramphus_forbesi";"birds";"Native";1;"Beak.Depth";20,5;NA
"Cyanoramphus_forbesi";"birds";"Native";1;"Beak.Length_Culmen";19,6;NA
"Cyanoramphus_forbesi";"birds";"Native";1;"Beak.Length_Nares";15,6;NA
"Cyanoramphus_forbesi";"birds";"Native";1;"Beak.Width";11,8;NA
"Cyanoramphus_forbesi";"birds";"Native";4;"BILL_LENGTH_mm";13,3;0,605530070819499
"Cyanoramphus_forbesi";"birds";"Native";4;"BILL_WIDTH_mm";10,5;1,15758369027902
"Cyanoramphus_forbesi";"birds";"Native";NA;"body.mass";NA;NA
"Cyanoramphus_forbesi";"birds";"Native";1;"Hand-wing.Index";32,3;NA
"Cyanoramphus_forbesi";"birds";"Native";1;"Kipps.Distance";38,8;NA
"Cyanoramphus_forbesi";"birds";"Native";1;"Secondary1";81,2;NA
"Cyanoramphus_forbesi";"birds";"Native";1;"Tail.Length";150;NA
"Cyanoramphus_forbesi";"birds";"Native";1;"Tarsus.Length";18,8;NA
"Cyanoramphus_forbesi";"birds";"Native";4;"WING_LENGTH_cm";11,75;0,645497224367903
"Cyanoramphus_forbesi";"birds";"Native";1;"Wing.Length";120;NA
"Cyanoramphus_malherbi";"birds";"Native";4;"Beak.Depth";12,875;1,63783393541592
"Cyanoramphus_malherbi";"birds";"Native";4;"Beak.Length_Culmen";14;1,44452991200136
"Cyanoramphus_malherbi";"birds";"Native";4;"Beak.Length_Nares";10,925;1,25532200384337
"Cyanoramphus_malherbi";"birds";"Native";4;"Beak.Width";7,4;0,476095228569523
"Cyanoramphus_malherbi";"birds";"Native";4;"BILL_LENGTH_mm";12,05;1,03440804327886
"Cyanoramphus_malherbi";"birds";"Native";4;"BILL_WIDTH_mm";8,1;0,424264068711929
"Cyanoramphus_malherbi";"birds";"Native";NA;"body.mass";NA;NA
"Cyanoramphus_malherbi";"birds";"Native";4;"Hand-wing.Index";35,275;1,00457287772798
"Cyanoramphus_malherbi";"birds";"Native";4;"Kipps.Distance";35,025;1,89626826512847
"Cyanoramphus_malherbi";"birds";"Native";4;"Secondary1";64,225;4,00780488547035
"Cyanoramphus_malherbi";"birds";"Native";4;"Tail.Length";109,5;5,91607978309962
"Cyanoramphus_malherbi";"birds";"Native";4;"Tarsus.Length";17,725;1,75949803447839
"Cyanoramphus_malherbi";"birds";"Native";4;"WING_LENGTH_cm";9,275;1,03400515794974
"Cyanoramphus_malherbi";"birds";"Native";4;"Wing.Length";99,25;5,56027577253743
"Cyanoramphus_novaezelandiae";"birds";"Native";66;"Beak.Depth";19,3375;2,89179874818425
"Cyanoramphus_novaezelandiae";"birds";"Native";66;"Beak.Length_Culmen";16,8727272727273;2,66928659178645
"Cyanoramphus_novaezelandiae";"birds";"Native";66;"Beak.Length_Nares";15,975;2,63122278291545
"Cyanoramphus_novaezelandiae";"birds";"Native";66;"Beak.Width";10,98125;1,35312908967819
"Cyanoramphus_novaezelandiae";"birds";"Native";4;"BILL_LENGTH_mm";14,5;2,02155056000751
"Cyanoramphus_novaezelandiae";"birds";"Native";4;"BILL_WIDTH_mm";10;0,867947771086103
"Cyanoramphus_novaezelandiae";"birds";"Native";NA;"body.mass";75;NA
"Cyanoramphus_novaezelandiae";"birds";"Native";66;"Hand-wing.Index";38,06875;2,39936623576588
"Cyanoramphus_novaezelandiae";"birds";"Native";66;"Kipps.Distance";48,575;4,02533642486356
"Cyanoramphus_novaezelandiae";"birds";"Native";66;"Secondary1";79,2375;8,17083227095013
"Cyanoramphus_novaezelandiae";"birds";"Native";66;"Tail.Length";145,045454545455;17,7758970936073
"Cyanoramphus_novaezelandiae";"birds";"Native";66;"Tarsus.Length";20,4;2,75172673061843
"Cyanoramphus_novaezelandiae";"birds";"Native";4;"WING_LENGTH_cm";11,9;0,454606056566195
"Cyanoramphus_novaezelandiae";"birds";"Native";66;"Wing.Length";128,123076923077;8,15189336195067
"Finschia_novaeseelandiae";"birds";"Native";NA;"Beak.Depth";NA;NA
"Finschia_novaeseelandiae";"birds";"Native";NA;"Beak.Length_Culmen";NA;NA
"Finschia_novaeseelandiae";"birds";"Native";NA;"Beak.Length_Nares";NA;NA
"Finschia_novaeseelandiae";"birds";"Native";NA;"Beak.Width";NA;NA
"Finschia_novaeseelandiae";"birds";"Native";4;"BILL_LENGTH_mm";9,675;1,15578256317239
"Finschia_novaeseelandiae";"birds";"Native";4;"BILL_WIDTH_mm";5,125;0,68495741960115
"Finschia_novaeseelandiae";"birds";"Native";NA;"body.mass";NA;NA
"Finschia_novaeseelandiae";"birds";"Native";NA;"Hand-wing.Index";NA;NA
"Finschia_novaeseelandiae";"birds";"Native";NA;"Kipps.Distance";NA;NA
"Finschia_novaeseelandiae";"birds";"Native";NA;"Secondary1";NA;NA
"Finschia_novaeseelandiae";"birds";"Native";NA;"Tail.Length";NA;NA
"Finschia_novaeseelandiae";"birds";"Native";NA;"Tarsus.Length";NA;NA
"Finschia_novaeseelandiae";"birds";"Native";4;"WING_LENGTH_cm";5,675;0,221735578260835
"Finschia_novaeseelandiae";"birds";"Native";NA;"Wing.Length";NA;NA
"Fringilla_coelebs";"birds";"Exotic";22;"Beak.Depth";6,66;0,250998007960223
"Fringilla_coelebs";"birds";"Exotic";22;"Beak.Length_Culmen";14,7111111111111;0,673506578372558
"Fringilla_coelebs";"birds";"Exotic";22;"Beak.Length_Nares";9,825;0,189296944860009
"Fringilla_coelebs";"birds";"Exotic";22;"Beak.Width";5,46;0,439317652729776
"Fringilla_coelebs";"birds";"Exotic";4;"BILL_LENGTH_mm";12,1;1,24096736459909
"Fringilla_coelebs";"birds";"Exotic";4;"BILL_WIDTH_mm";7,15;0,341565025531987
"Fringilla_coelebs";"birds";"Exotic";NA;"body.mass";22,2;NA
"Fringilla_coelebs";"birds";"Exotic";22;"Hand-wing.Index";27,6238095238095;1,17596971130415
"Fringilla_coelebs";"birds";"Exotic";22;"Kipps.Distance";23,7142857142857;1,24188796366086
"Fringilla_coelebs";"birds";"Exotic";22;"Secondary1";62,1714285714286;3,2890945345403
"Fringilla_coelebs";"birds";"Exotic";22;"Tail.Length";65,8888888888889;5,22480727980574
"Fringilla_coelebs";"birds";"Exotic";22;"Tarsus.Length";17,8;0,863133825081604
"Fringilla_coelebs";"birds";"Exotic";4;"WING_LENGTH_cm";8,075;0,386221007541882
"Fringilla_coelebs";"birds";"Exotic";22;"Wing.Length";85,9318181818182;3,84922829169152
"Gallirallus_australis";"birds";"Native";6;"Beak.Depth";11,35;1,3751363568752
"Gallirallus_australis";"birds";"Native";6;"Beak.Length_Culmen";46,5666666666667;3,71250140291781
"Gallirallus_australis";"birds";"Native";6;"Beak.Length_Nares";22,55;1,3076696830622
"Gallirallus_australis";"birds";"Native";6;"Beak.Width";5,81666666666667;0,725028735062733
"Gallirallus_australis";"birds";"Native";4;"BILL_LENGTH_mm";49,15;1,05356537528527
"Gallirallus_australis";"birds";"Native";4;"BILL_WIDTH_mm";15,125;2,10930478278192
"Gallirallus_australis";"birds";"Native";NA;"body.mass";893,5;NA
"Gallirallus_australis";"birds";"Native";6;"Hand-wing.Index";5,55;2,75257455242663
"Gallirallus_australis";"birds";"Native";6;"Kipps.Distance";8,975;4,12664108769671
"Gallirallus_australis";"birds";"Native";6;"Secondary1";155,775;15,0098578718565
"Gallirallus_australis";"birds";"Native";6;"Tail.Length";117,166666666667;13,4523851664553
"Gallirallus_australis";"birds";"Native";6;"Tarsus.Length";57,5333333333333;4,38846974088539
"Gallirallus_australis";"birds";"Native";4;"WING_LENGTH_cm";20,25;2,62995563967658
"Gallirallus_australis";"birds";"Native";6;"Wing.Length";167,166666666667;12,576432986609
"Gerygone_igata";"birds";"Native";6;"Beak.Depth";2,61666666666667;0,365604522218567
"Gerygone_igata";"birds";"Native";6;"Beak.Length_Culmen";12,7;2,99332590941915
"Gerygone_igata";"birds";"Native";6;"Beak.Length_Nares";7,68333333333333;1,59426053914242
"Gerygone_igata";"birds";"Native";6;"Beak.Width";2,7;0,414728827066554
"Gerygone_igata";"birds";"Native";4;"BILL_LENGTH_mm";10,075;0,79320026895272
"Gerygone_igata";"birds";"Native";4;"BILL_WIDTH_mm";3,95;0,238047614284762
"Gerygone_igata";"birds";"Native";NA;"body.mass";6,15;NA
"Gerygone_igata";"birds";"Native";6;"Hand-wing.Index";17,7333333333333;1,53449231561017
"Gerygone_igata";"birds";"Native";6;"Kipps.Distance";9,61666666666667;1,27187525593773
"Gerygone_igata";"birds";"Native";6;"Secondary1";44,7166666666667;5,28939189951611
"Gerygone_igata";"birds";"Native";6;"Tail.Length";48,3;7,48197834800396
"Gerygone_igata";"birds";"Native";6;"Tarsus.Length";20,4;2,03273215156351
"Gerygone_igata";"birds";"Native";4;"WING_LENGTH_cm";4,925;0,221735578260835
"Gerygone_igata";"birds";"Native";6;"Wing.Length";54,3333333333333;6,21825270205921
"Hemiphaga_novaeseelandiae";"birds";"Native";8;"Beak.Depth";6;0,336650164612069
"Hemiphaga_novaeseelandiae";"birds";"Native";8;"Beak.Length_Culmen";29,6;1,19522860933439
"Hemiphaga_novaeseelandiae";"birds";"Native";8;"Beak.Length_Nares";13;0,115470053837925
"Hemiphaga_novaeseelandiae";"birds";"Native";8;"Beak.Width";5,9;0,496655480858378
"Hemiphaga_novaeseelandiae";"birds";"Native";8;"BILL_LENGTH_mm";31,6875;2,53739883682933
"Hemiphaga_novaeseelandiae";"birds";"Native";8;"BILL_WIDTH_mm";13,95;2,39105475829034
"Hemiphaga_novaeseelandiae";"birds";"Native";NA;"body.mass";637,9;NA
