"cell_id";"guild";"record.type";"richness"
291;"plants";"NVS";11
292;"birds";"GBIF";22
292;"plants";"NVS";24
293;"birds";"GBIF";21
294;"birds";"GBIF";29
295;"birds";"GBIF";17
296;"birds";"GBIF";23
296;"plants";"GBIF";1
297;"birds";"GBIF";21
297;"plants";"NVS";21
298;"birds";"GBIF";6
298;"birds";"TIER1";16
298;"plants";"NVS";36
299;"birds";"GBIF";24
299;"plants";"GBIF";1
300;"birds";"GBIF";20
301;"birds";"GBIF";21
302;"birds";"GBIF";24
303;"birds";"GBIF";22
304;"birds";"GBIF";23
304;"birds";"TIER1";16
304;"plants";"GBIF";6
304;"plants";"NVS";4
305;"birds";"GBIF";21
305;"plants";"GBIF";4
305;"plants";"NVS";8
306;"birds";"GBIF";20
307;"birds";"GBIF";18
308;"birds";"GBIF";15
309;"birds";"GBIF";21
310;"birds";"GBIF";22
310;"birds";"TIER1";9
310;"plants";"NVS";35
311;"birds";"GBIF";25
311;"plants";"NVS";34
312;"birds";"GBIF";24
312;"plants";"NVS";17
313;"birds";"GBIF";20
314;"birds";"GBIF";22
315;"birds";"GBIF";21
316;"birds";"GBIF";21
316;"plants";"GBIF";1
316;"plants";"NVS";3
317;"birds";"GBIF";19
318;"birds";"GBIF";19
319;"birds";"GBIF";19
319;"birds";"TIER1";1
319;"plants";"NVS";1
320;"birds";"GBIF";20
321;"birds";"GBIF";24
321;"plants";"NVS";22
322;"birds";"GBIF";23
323;"birds";"GBIF";21
324;"birds";"GBIF";20
325;"birds";"GBIF";20
326;"birds";"GBIF";22
326;"plants";"GBIF";25
327;"birds";"GBIF";20
328;"birds";"GBIF";22
328;"birds";"TIER1";16
328;"plants";"NVS";5
329;"birds";"GBIF";18
330;"birds";"GBIF";17
331;"birds";"GBIF";17
331;"birds";"TIER1";1
331;"plants";"NVS";1
332;"birds";"GBIF";21
333;"birds";"GBIF";23
333;"birds";"TIER1";18
333;"plants";"GBIF";2
333;"plants";"NVS";37
334;"birds";"GBIF";20
335;"birds";"GBIF";24
336;"birds";"GBIF";21
337;"birds";"GBIF";19
337;"plants";"GBIF";1
338;"birds";"GBIF";18
339;"birds";"GBIF";21
339;"plants";"NVS";18
340;"birds";"GBIF";25
341;"birds";"GBIF";20
341;"plants";"GBIF";9
342;"birds";"GBIF";8
343;"birds";"GBIF";14
344;"birds";"GBIF";24
345;"birds";"GBIF";24
345;"birds";"TIER1";19
345;"plants";"GBIF";13
345;"plants";"NVS";43
346;"birds";"GBIF";25
347;"birds";"GBIF";19
349;"birds";"GBIF";20
350;"birds";"GBIF";22
350;"plants";"GBIF";23
351;"birds";"GBIF";26
351;"birds";"TIER1";17
351;"plants";"NVS";37
352;"birds";"GBIF";21
352;"plants";"GBIF";1
352;"plants";"NVS";18
353;"birds";"GBIF";18
354;"birds";"GBIF";7
355;"birds";"GBIF";22
356;"birds";"GBIF";16
357;"birds";"GBIF";18
358;"birds";"GBIF";26
358;"plants";"GBIF";2
358;"plants";"NVS";24
359;"birds";"GBIF";23
359;"plants";"GBIF";1
360;"birds";"GBIF";26
360;"plants";"GBIF";12
361;"birds";"GBIF";18
362;"birds";"GBIF";17
363;"birds";"GBIF";19
363;"plants";"GBIF";1
363;"plants";"NVS";23
364;"birds";"GBIF";18
364;"plants";"NVS";20
365;"birds";"GBIF";22
365;"plants";"GBIF";4
367;"birds";"GBIF";22
368;"birds";"GBIF";22
369;"birds";"GBIF";18
370;"birds";"GBIF";23
