"cell_id";"ecoregion"
1168;"Pahiatua"
1169;"Pahiatua"
1170;"Eastern Hawkes Bay"
1171;"Eastern Hawkes Bay"
1172;"Eastern Hawkes Bay"
1173;"Eastern Hawkes Bay"
1174;"Eastern Hawkes Bay"
1175;"Manawatu"
1176;"Manawatu"
1177;"Manawatu"
1178;"Manawatu"
1179;"Manawatu"
1180;"Manawatu"
1181;"Manawatu Gorge"
1182;"Pahiatua"
1183;"Pahiatua"
1184;"Pahiatua"
1185;"Pahiatua"
1186;"Eastern Hawkes Bay"
1187;"Eastern Hawkes Bay"
1188;"Eastern Hawkes Bay"
1189;"Eastern Hawkes Bay"
1190;"Manawatu"
1191;"Manawatu"
1192;"Manawatu"
1193;"Manawatu"
1194;"Manawatu"
1195;"Manawatu Gorge"
1196;"Pahiatua"
1197;"Pahiatua"
1198;"Pahiatua"
1199;"Pahiatua"
1200;"Eastern Hawkes Bay"
1201;"Eastern Hawkes Bay"
1202;"Eastern Hawkes Bay"
1203;"Eastern Hawkes Bay"
1204;"North-west Nelson"
1205;"North-west Nelson"
1206;"North-west Nelson"
1207;"North-west Nelson"
1208;"Manawatu"
1209;"Manawatu"
1210;"Manawatu"
1211;"Manawatu"
1212;"Manawatu Gorge"
1213;"Pahiatua"
1214;"Pahiatua"
1215;"Pahiatua"
1216;"Pahiatua"
1217;"Eastern Hawkes Bay"
1218;"Eastern Hawkes Bay"
1219;"Eastern Hawkes Bay"
1220;"Eastern Hawkes Bay"
1221;"North-west Nelson"
1222;"North-west Nelson"
1223;"North-west Nelson"
1224;"North-west Nelson"
1225;"North-west Nelson"
1226;"Manawatu"
1227;"Manawatu"
1228;"Manawatu"
1229;"Manawatu Gorge"
1230;"Manawatu Gorge"
1231;"Pahiatua"
1232;"Pahiatua"
1233;"Pahiatua"
1234;"Eastern Wairarapa"
