"species";"guild";"cell";"aggregated.communicability";"scaled.aggregated.communicability"
"Turdus_philomelos";"birds";"45";45461986,0108567;0
"Turdus_philomelos";"birds";"46";86132454,3811223;1
"Vitex_lucens";"plants";"45";0,999999999999998;0
"Vitex_lucens";"plants";"46";10003815,4891441;1
"Vitis_vinifera";"plants";"45";0,999999999999998;0
"Vitis_vinifera";"plants";"46";40421335,0708507;1
"Weinmannia_racemosa";"plants";"45";1283324,74326495;1
"Weinmannia_racemosa";"plants";"46";1114578,38195413;0
"Zosterops_lateralis";"birds";"45";112794602,776037;0
"Zosterops_lateralis";"birds";"46";194709210,889569;1
