"PLANTSPECIES";"BIRDSPECIES";"REFERENCE";"PLANTSTATUS";"BIRDSTATUS"
"Coprosma_foetidissima";"Anthornis_melanura";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Coprosma_foetidissima";"Anthornis_melanura";"Anderson 1997. Unpubl. MSc Thesis, UoA.";"Native";"Native"
"Coprosma_foetidissima";"Cyanoramphus_auriceps";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Coprosma_foetidissima";"Cyanoramphus_auriceps";"Anderson 1997. Unpubl. MSc Thesis, UoA.";"Native";"Native"
"Coprosma_foetidissima";"Hemiphaga_novaeseelandiae";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Coprosma_foetidissima";"Hemiphaga_novaeseelandiae";"Kelly et al. 2006 in Allen & Lee.";"Native";"Native"
"Coprosma_foetidissima";"Nestor_meridionalis";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Coprosma_foetidissima";"Nestor_meridionalis";"Anderson 1997. Unpubl. MSc Thesis, UoA.";"Native";"Native"
"Coprosma_foetidissima";"Rhipidura_fuliginosa";"O'Donnell & Dilks 1989, Notornis 36: 72-76.";"Native";"Native"
"Coprosma_foetidissima";"Rhipidura_fuliginosa";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Coprosma_foetidissima";"Rhipidura_fuliginosa";"Anderson 1997. Unpubl. MSc Thesis, UoA.";"Native";"Native"
"Coprosma_foetidissima";"Strigops_habroptila";"Wilson et al. 2006, Notornis 53, 80-89.";"Native";"Native"
"Coprosma_foetidissima";"Zosterops_lateralis";"O'Donnell & Dilks 1994, NZJE 18: 87-107.";"Native";"Native"
"Coprosma_foetidissima";"Zosterops_lateralis";"Anderson 1997. Unpubl. MSc Thesis, UoA.";"Native";"Native"
"Coprosma_fowerakeri";"Nestor_notabilis";"Greer et al. 2015 NZ J Ecol 39, 254-61.";"Native";"Native"
