"landscape.category";"network.category";"dispersal.category";"replicate";"normalised.gce"
"sa03";"dd02";"dk01";2;0,0154969478190186
"sa03";"dd02";"dk01";3;0,0192495721705543
"sa03";"dd02";"dk01";4;0,0316758647359854
"sa03";"dd02";"dk01";5;0,0225687509923381
"sa03";"dd02";"dk01";6;0,0166810529451859
"sa03";"dd02";"dk01";7;0,0108998877076567
"sa03";"dd02";"dk01";8;0,0194791188219527
"sa03";"dd02";"dk01";9;0,0229654486377475
"sa03";"dd02";"dk02";1;0,0250076014214291
"sa03";"dd02";"dk02";10;0,0246735927592238
"sa03";"dd02";"dk02";2;0,022252436063269
"sa03";"dd02";"dk02";3;0,0231120468027246
"sa03";"dd02";"dk02";4;0,0242267630027186
"sa03";"dd02";"dk02";5;0,0271860840814238
"sa03";"dd02";"dk02";6;0,0254238831418317
"sa03";"dd02";"dk02";7;0,0219457283872997
"sa03";"dd02";"dk02";8;0,022161125049252
"sa03";"dd02";"dk02";9;0,0256468938373519
"sa03";"dd02";"dk03";1;0,0210121329355228
"sa03";"dd02";"dk03";10;0,0230636280641964
"sa03";"dd02";"dk03";2;0,0161206069483029
"sa03";"dd02";"dk03";3;0,0203449749181425
"sa03";"dd02";"dk03";4;0,0211520403295109
"sa03";"dd02";"dk03";5;0,0238166593569352
"sa03";"dd02";"dk03";6;0,0218170798304619
"sa03";"dd02";"dk03";7;0,0169817183161556
"sa03";"dd02";"dk03";8;0,0249798664216484
"sa03";"dd02";"dk03";9;0,0272640674146761
"sa03";"dd02";"dk04";1;0,0200520336240606
"sa03";"dd02";"dk04";10;0,0181743652036025
"sa03";"dd02";"dk04";2;0,0171638498567429
"sa03";"dd02";"dk04";3;0,027541380250792
"sa03";"dd02";"dk04";4;0,0219259021197023
"sa03";"dd02";"dk04";5;0,0190140294093738
"sa03";"dd02";"dk04";6;0,027397546248449
"sa03";"dd02";"dk04";7;0,0242209899875527
"sa03";"dd02";"dk04";8;0,0196523690740703
"sa03";"dd02";"dk04";9;0,0211605622834935
"sa03";"dd02";"dk05";1;0,0168138788612173
"sa03";"dd02";"dk05";10;0,024875179012212
"sa03";"dd02";"dk05";2;0,0188766500778838
"sa03";"dd02";"dk05";3;0,0244731212152142
"sa03";"dd02";"dk05";4;0,0177869962276545
"sa03";"dd02";"dk05";5;0,0196932398365581
"sa03";"dd02";"dk05";6;0,022475645163809
"sa03";"dd02";"dk05";7;0,0219281322441991
"sa03";"dd02";"dk05";8;0,0227500062941979
"sa03";"dd02";"dk05";9;0,0227715097452123
"sa04";"dd02";"dk01";1;0,0140748494348957
"sa04";"dd02";"dk01";10;0,0191283187314478
"sa04";"dd02";"dk01";2;0,0119108385544014
"sa04";"dd02";"dk01";3;0,0199042958110142
"sa04";"dd02";"dk01";4;0,0300777651437673
"sa04";"dd02";"dk01";5;0,0260960056342882
"sa04";"dd02";"dk01";6;0,0174290842670434
"sa04";"dd02";"dk01";7;0,0142679853428552
"sa04";"dd02";"dk01";8;0,0203742309450143
"sa04";"dd02";"dk01";9;0,0257804927985867
"sa04";"dd02";"dk02";1;0,0241766082656768
"sa04";"dd02";"dk02";10;0,0225677636977525
"sa04";"dd02";"dk02";2;0,0207363592422651
